Time: 0, Load cell: -394418.0, Distance: 161, Load: 49.04745049118977
Time: 1, Load cell: -394572.0, Distance: 160, Load: 49.24376266957742
Time: 2, Load cell: -394698.0, Distance: 155, Load: 49.404381724621864
Time: 3, Load cell: -395052.0, Distance: 160, Load: 49.855644784032435
Time: 4, Load cell: -395122.0, Distance: 161, Load: 49.94487759239046
Time: 5, Load cell: -394728.0, Distance: 161, Load: 49.442624356775305
Time: 6, Load cell: -394798.0, Distance: 158, Load: 49.531857165133324
Time: 7, Load cell: -394656.0, Distance: 158, Load: 49.35084203960705
Time: 8, Load cell: -394678.0, Distance: 161, Load: 49.378886636519574
Time: 9, Load cell: -366388.0, Distance: 162, Load: 13.316084515827226
Time: 10, Load cell: -356706.0, Distance: 158, Load: 0.9739123655075629
Time: 11, Load cell: -356568.0, Distance: 160, Load: 0.7979962576017465
Time: 12, Load cell: -356634.0, Distance: 156, Load: 0.8821300483393109
Time: 13, Load cell: -355272.0, Distance: 161, Load: -0.8540854514267894
Time: 14, Load cell: -355174.0, Distance: 162, Load: -0.9790113831280213
Time: 15, Load cell: -355812.0, Distance: 163, Load: -0.16571807266489944
Time: 16, Load cell: -355346.0, Distance: 162, Load: -0.7597536254483082
Time: 17, Load cell: -355756.0, Distance: 162, Load: -0.23710431935131765
Time: 18, Load cell: -355398.0, Distance: 164, Load: -0.6934663963823484
Time: 19, Load cell: -355564.0, Distance: 161, Load: -0.481857165133323
Time: 20, Load cell: -355702.0, Distance: 163, Load: -0.30594105722750664
Time: 21, Load cell: -355388.0, Distance: 159, Load: -0.7062139404334945
Time: 22, Load cell: -355586.0, Distance: 154, Load: -0.4538125682208015
Time: 23, Load cell: -355524.0, Distance: 159, Load: -0.5328473413379075
Time: 24, Load cell: -355554.0, Distance: 157, Load: -0.4946047091844691
Time: 25, Load cell: -355652.0, Distance: 163, Load: -0.3696787774832372
Time: 26, Load cell: -355874.0, Distance: 161, Load: -0.08668329954779355
Time: 27, Load cell: -364380.0, Distance: 160, Load: 10.756377670357088
Time: 28, Load cell: -363438.0, Distance: 158, Load: 9.555559020739125
Time: 29, Load cell: -363660.0, Distance: 160, Load: 9.838554498674569
Time: 30, Load cell: -364334.0, Distance: 164, Load: 10.697738967721817
Time: 31, Load cell: -363548.0, Distance: 162, Load: 9.695782005301732
Time: 32, Load cell: -363414.0, Distance: 164, Load: 9.524964915016374
Time: 33, Load cell: -363136.0, Distance: 162, Load: 9.170583190394511
Time: 34, Load cell: -356442.0, Distance: 164, Load: 0.6373772025573056
Time: 35, Load cell: -357008.0, Distance: 158, Load: 1.3588881958521755
Time: 36, Load cell: -357306.0, Distance: 164, Load: 1.7387650085763295
Time: 37, Load cell: -356752.0, Distance: 160, Load: 1.032551068142835
Time: 38, Load cell: -356766.0, Distance: 165, Load: 1.0503976298144395
Time: 39, Load cell: -357264.0, Distance: 160, Load: 1.6852253235615158
Time: 40, Load cell: -356934.0, Distance: 161, Load: 1.2645563698736941
Time: 41, Load cell: -357200.0, Distance: 162, Load: 1.6036410416341806
Time: 42, Load cell: -357090.0, Distance: 164, Load: 1.4634180570715736
Time: 43, Load cell: -357096.0, Distance: 162, Load: 1.4710665835022612
Time: 44, Load cell: -356942.0, Distance: 159, Load: 1.2747544051146111
Time: 45, Load cell: -356264.0, Distance: 161, Load: 0.41047091844690475
Time: 46, Load cell: -357418.0, Distance: 160, Load: 1.8815375019491658
Time: 47, Load cell: -356708.0, Distance: 160, Load: 0.9764618743177921
Time: 48, Load cell: -356678.0, Distance: 159, Load: 0.9382192421643537
Time: 49, Load cell: -356744.0, Distance: 160, Load: 1.0223530329019181
Time: 50, Load cell: -356670.0, Distance: 162, Load: 0.9280212069234368
Time: 51, Load cell: -356952.0, Distance: 161, Load: 1.287501949165757
Time: 52, Load cell: -356606.0, Distance: 163, Load: 0.8464369249961017
Time: 53, Load cell: -356744.0, Distance: 159, Load: 1.0223530329019181
Time: 54, Load cell: -357094.0, Distance: 163, Load: 1.468517074692032
Time: 55, Load cell: -356164.0, Distance: 162, Load: 0.28299547793544366
Time: 56, Load cell: -362086.0, Distance: 158, Load: 7.83209106502417
Time: 57, Load cell: -390444.0, Distance: 168, Load: 43.98157648526431
Time: 58, Load cell: -416814.0, Distance: 163, Load: 77.5968501481366
