Time: 87, Load cell: -46340.0, Distance: 8190, Load: 8.103913043478261
Time: 88, Load cell: -46342.0, Distance: 8190, Load: 8.530434782608696
Time: 89, Load cell: -46444.0, Distance: 8191, Load: 30.28304347826087
Time: 90, Load cell: -46294.0, Distance: 8191, Load: -1.7060869565217391
Time: 91, Load cell: -46376.0, Distance: 8190, Load: 15.781304347826087
Time: 92, Load cell: -46322.0, Distance: 8191, Load: 4.265217391304348
Time: 93, Load cell: -46432.0, Distance: 8191, Load: 27.723913043478262
Time: 94, Load cell: -46426.0, Distance: 8190, Load: 26.444347826086958
Time: 95, Load cell: -46252.0, Distance: 994, Load: -10.66304347826087
Time: 96, Load cell: -46302.0, Distance: 8191, Load: -0.0
Time: 97, Load cell: -46404.0, Distance: 1000, Load: 21.752608695652174
Time: 98, Load cell: -46478.0, Distance: 1143, Load: 37.533913043478265
Time: 99, Load cell: -46332.0, Distance: 8191, Load: 6.397826086956522
Time: 100, Load cell: -46422.0, Distance: 1107, Load: 25.59130434782609
Time: 101, Load cell: -46248.0, Distance: 8191, Load: -11.51608695652174
Time: 102, Load cell: -46330.0, Distance: 967, Load: 5.971304347826087
Time: 103, Load cell: -46356.0, Distance: 8191, Load: 11.51608695652174
Time: 104, Load cell: -46462.0, Distance: 904, Load: 34.12173913043478
Time: 105, Load cell: -46264.0, Distance: 8191, Load: -8.103913043478261
Time: 106, Load cell: -46298.0, Distance: 970, Load: -0.8530434782608696
Time: 107, Load cell: -46352.0, Distance: 8191, Load: 10.66304347826087
Time: 108, Load cell: -46310.0, Distance: 953, Load: 1.7060869565217391
Time: 109, Load cell: -46360.0, Distance: 8191, Load: 12.369130434782608
Time: 110, Load cell: -46454.0, Distance: 8191, Load: 32.415652173913045
Time: 111, Load cell: -46308.0, Distance: 901, Load: 1.2795652173913044
Time: 112, Load cell: -46370.0, Distance: 356, Load: 14.501739130434782
Time: 113, Load cell: -46496.0, Distance: 328, Load: 41.372608695652175
Time: 114, Load cell: -46430.0, Distance: 337, Load: 27.297391304347826
Time: 115, Load cell: -46452.0, Distance: 319, Load: 31.98913043478261
Time: 116, Load cell: -46382.0, Distance: 863, Load: 17.06086956521739
Time: 117, Load cell: -46348.0, Distance: 1006, Load: 9.81
Time: 118, Load cell: -46426.0, Distance: 957, Load: 26.444347826086958
Time: 119, Load cell: -46376.0, Distance: 8190, Load: 15.781304347826087
Time: 120, Load cell: -46406.0, Distance: 908, Load: 22.179130434782607
Time: 121, Load cell: -46424.0, Distance: 8190, Load: 26.01782608695652
Time: 122, Load cell: -46366.0, Distance: 8190, Load: 13.648695652173913
Time: 123, Load cell: -46268.0, Distance: 8191, Load: -7.250869565217391
Time: 124, Load cell: -46358.0, Distance: 944, Load: 11.942608695652174
