0,-396374.0,156,49.047247320276114
1,-396784.0,165,49.611546663673614
2,-396858.0,156,49.71339581345755
3,-397024.0,160,49.94186823054044
4,-396826.0,160,49.66935293787531
5,-394560.0,157,46.55056681070768
6,-359874.0,162,-1.1891576407205793
7,-361548.0,159,1.1148352881755432
8,-361030.0,158,0.4018912396879736
9,-358576.0,162,-2.9756467815253385
10,-356354.0,160,-6.033873954767384
11,-356172.0,158,-6.284367809641395
12,-355942.0,157,-6.600925977888771
13,-356744.0,159,-5.497101408608789
14,-356414.0,161,-5.951293563050677
15,-355848.0,161,-6.730301924911612
16,-355742.0,160,-6.876193950277794
17,-355164.0,160,-7.671718390482071
18,-356310.0,160,-6.094432908692969
19,-355280.0,162,-7.512062966496438
20,-357314.0,156,-4.712587687300074
21,-355872.0,161,-6.697269768224929
22,-356062.0,159,-6.4357651944553576
23,-356092.0,162,-6.394474998597004
24,-355402.0,161,-7.344149503339134
25,-355844.0,160,-6.735807284359392
26,-355754.0,160,-6.859677871934453
27,-355320.0,159,-7.457009372018633
28,-355962.0,158,-6.5733991806498695
29,-355732.0,162,-6.889957348897245
30,-355770.0,160,-6.837656434143331
31,-355848.0,158,-6.730301924911612
32,-364590.0,160,5.301661148212583
33,-364648.0,160,5.381488860205399
34,-363762.0,158,4.162051742522028
35,-363344.0,158,3.5867416802289696
36,-363338.0,161,3.578483641057299
37,-363904.0,159,4.357492002918234
38,-364210.0,161,4.778652000673439
39,-364512.0,159,5.194306638980864
40,-364346.0,161,4.965834221897975
41,-363844.0,164,4.274911611201527
42,-364274.0,163,4.866737751837927
43,-364020.0,160,4.517147426903867
44,-361970.0,160,1.6956507099163816
45,-355712.0,162,-6.917484146136148
46,-355810.0,161,-6.782602839665526
47,-356056.0,160,-6.4440232336270284
48,-355838.0,162,-6.744065323531063
49,-355668.0,156,-6.978043100061733
50,-356006.0,161,-6.512840226724284
51,-355772.0,159,-6.834903754419441
52,-356154.0,162,-6.309141927156407
53,-355600.0,165,-7.071634210674
54,-355974.0,164,-6.556883102306528
